CR_TITLE,CR_URL,CR_MATERIAL_TYPE,CR_Media_Formats,CR_ABSTRACT,CR_LANGUAGE,CR_COU_TITLE,CR_PRIMARY_USER,CR_SUBJECT,CR_KEYWORDS,CR_AUTHOR_NAME,CR_PROVIDER,CR_PROVIDER_SET,CR_COU_URL,CR_COU_COPYRIGHT_HOLDER,CR_EDUCATIONAL_USE,CR_ACCESSIBILITY
Building Earth-like Planets: From Nebular Gas to Ocean Worlds,https://live-qa.ocw.mit.edu/courses/12-472-building-earth-like-planets-from-nebular-gas-to-ocean-worlds-fall-2008,Full Course,Text/HTML,"This course covers examination of the state of knowledge of planetary formation, beginning with planetary nebulas and continuing through accretion (from gas, to dust, to planetesimals, to planetary embryos, to planets). It also includes processes of planetary differentiation, crust formation, atmospheric degassing, and surface water condensation. This course has integrated discussions of compositional and physical processes, based upon observations from our solar system and from exoplanets. Focus on terrestrial (rocky and metallic) planets, though more volatile-rich bodies are also examined.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Physical Science|Physical Geology|Physics|Atmospheric Science,Science|Planetary Science|Geology|Earth Science|Geophysics|Astrophysics|Physics,"Elkins-Tanton, Lindy",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Music and Technology: Recording Techniques and Audio Production,https://live-qa.ocw.mit.edu/courses/21m-380-music-and-technology-recording-techniques-and-audio-production-fall-2016,Full Course,Text/HTML,"This course is an introduction to music recording and audio production from both a practical and a theoretical perspective. Learn about the physical nature and human perception of sound, how it is transformed to and from electrical signals by means of microphones and loudspeakers, and how it can be creatively modeled through mixing consoles, signal processors, and digital audio workstations. The course covers making informed choices about microphone selection and positioning, and various editing, mixing, and mastering techniques.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Engineering|Performing Arts|Electronic Technology|Graphic Design|Graphic Arts,Signal Processing|Media Studies|Electrical Engineering|Digital Media|Engineering|Music|Fine Arts,"Hollerweger, Florian",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Environmental Politics and Policy,https://live-qa.ocw.mit.edu/courses/17-32-environmental-politics-and-policy-spring-2003,Full Course,Text/HTML,"""Environmental Politics & Policy"" explores the workings of environmental policymaking in the United States.

What are the big issues facing environmental policy?
How did we end up with the policies we have today?
Why does it take a crisis to move environmental policy forward?
Why do political factors - economic interests, social and political values, bureaucratic styles, ideologies, elections, etc. - always seem to overwhelm sound scientific and engineering judgment in determining policy outcomes?

Case studies ranging from cleaning up toxic waste pollution to endangered species protection probe the clashes between science and politics at local, state, and federal levels.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Environmental Studies|Political Science,Social Science|Political Science|American Politics|Public Administration|Environmental Policy,"Meyer, Stephen",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Organic Chemistry II,https://live-qa.ocw.mit.edu/courses/5-13-organic-chemistry-ii-fall-2006,Full Course,Text/HTML,"This intermediate organic chemistry course focuses on the methods used to identify the structure of organic molecules, advanced principles of organic stereochemistry, organic reaction mechanisms, and methods used for the synthesis of organic compounds. Additional special topics include illustrating the role of organic chemistry in biology, medicine, and industry.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Physical Science|Chemistry,Chemistry|Science|Organic Chemistry,"Berkowski, Kimberly|Jamison, Timothy",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Foundations of Western Culture: The Making of the Modern World ,https://live-qa.ocw.mit.edu/courses/21l-002-foundations-of-western-culture-the-making-of-the-modern-world-spring-2010,Full Course,Text/HTML,"This course comprises a broad survey of texts, literary and philosophical, which trace the development of the modern world from the seventeenth to the early twentieth century. Intrinsic to this development is the growth of individualism in a world no longer understood to be at the center of the universe. The texts chosen for study exemplify the emergence of a new humanism, at once troubled and dynamic in comparison to the old. The leading theme of this course is thus the question of the difference between the ancient and the modern world. Students who have taken Foundations of Western Culture I will obviously have an advantage in dealing with this question. Classroom discussion approaches this question mainly through consideration of action and characters, voice and form.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Literature|Philosophy|History|Reading Literature,Humanities|Philosophy|Literature|Comparative History|History|Comparative Literature,"Eiland, Howard",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Studies in Drama: Stoppard and Company,https://live-qa.ocw.mit.edu/courses/21l-703-studies-in-drama-stoppard-and-company-spring-2014,Full Course,Text/HTML,"Taking as its starting point the works of one of Britain's most respected, prolific—and funny—living dramatists, this seminar will explore a wide range of knowledge in fields such as math, philosophy, politics, history and art. The careful reading and discussion of plays by (Sir) Tom Stoppard and some of his most compelling contemporaries (including Caryl Churchill, Anna Deveare Smith and Howard Barker) will allow us to time-travel and explore other cultures, and to think about the medium of drama as well as one writer's work in depth. Some seminar participants will report on earlier plays that influenced these writers, others will research everything from Lord Byron's poetry to the bridges of Konigsberg, from Dadaism to Charter 77. Employing a variety of critical approaches (both theoretical and theatrical), we will consider what postmodernity means, as applied to these plays. In the process, we will analyze how drama connects with both the culture it represents and that which it addresses in performance. We will also explore the wit and verbal energy of these contemporary dramatists…not to mention, how Fermat's theorem, classical translation, and chaos theory become the stuff of stage comedy.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Literature|Performing Arts|Reading Literature,Theater|Drama|Humanities|Literature|Performance Arts|Criticism|Fine Arts,"Henderson, Diana",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment|Professional Development,Visual|Textual
Combinatorial Analysis,https://live-qa.ocw.mit.edu/courses/18-314-combinatorial-analysis-fall-2014,Full Course,Text/HTML,"This course analyzes combinatorial problems and methods for their solution. Topics include: enumeration, generating functions, recurrence relations, construction of bijections, introduction to graph theory, network algorithms, and extremal combinatorics.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Mathematics,Mathematics|Discrete Mathematics|Applied Mathematics,"Stanley, Richard",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Common Sense Reasoning for Interactive Applications,https://live-qa.ocw.mit.edu/courses/mas-964-common-sense-reasoning-for-interactive-applications-fall-2002,Full Course,Text/HTML,"This course will explore the state of the art in common sense knowledge, and class projects will design and build interfaces that can exploit this knowledge to make more usable and helpful interfaces.
Course requirements will consist of critiques of class readings (about 2 papers/week), and a final project (paper or computer implementation project). Grades will be based primarily on the projects, as well as a small component for class and online participation",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Engineering|Computer Science,Software Design and Engineering|Computer Science|Artificial Intelligence|Human-Computer Interfaces|Engineering,"Lieberman, Henry",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Digital Poetry,https://live-qa.ocw.mit.edu/courses/21w-772-digital-poetry-fall-2005,Full Course,Text/HTML,"This class investigates theory and practice of digital or new media poetry with emphasis on workshop review of digital poetry created by students. Each week students examine published examples of digital poetry in a variety of forms including but not limited to soundscapes, hypertext poetry, animation, code poems, interactive games, location-based poems using handheld devices, digital video and wikis.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Literature|Graphic Design|Graphic Arts|Reading Literature,Humanities|Literature|Media Studies|Criticism|Digital Media|Poetry|Fine Arts,"Barrett, Edward",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Bestsellers: The Memoir,https://live-qa.ocw.mit.edu/courses/21l-310-bestsellers-the-memoir-spring-2010,Full Course,Text/HTML,"What is a ""life"" when it's written down? How does memory inform the present? Why are memoirs so popular? This course will address these questions and others, considering the relationship between biography, autobiography, and memoir and between personal and social themes. We will closely examine some recent memoirs: Tobias Wolff's This Boy's Life, Barack Obama's Dreams From My Father, Edwidge Danticat's Brother, I'm Dying, Ayaan Hirsi Ali's Infidel, and Alison Bechdel's Fun Home. Students will write two brief papers: a critical essay and an experiment in memoir.
As a ""Sampling,"" this class offers 6 units, with a strong emphasis on close reading, group discussion, focused writing, and research and presentation skills.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Literature|Reading Literature,Humanities|Nonfiction Prose|Literature|Biography|Criticism,"Kelley, Wyn",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Ethnicity and Race in World Politics,https://live-qa.ocw.mit.edu/courses/17-523-ethnicity-and-race-in-world-politics-fall-2005,Full Course,Text/HTML,"Discerning the ethnic and racial dimensions of politics is considered by some indispensable to understanding contemporary world politics. This course seeks to answer fundamental questions about racial and ethnic politics. To begin, what are the bases of ethnic and racial identities? What accounts for political mobilization based upon such identities? What are the political claims and goals of such mobilization and is conflict between groups and/or with government forces inevitable? How do ethnic and racial identities intersect with other identities, such as gender and class, which are themselves the sources of social, political, and economic cleavages? Finally, how are domestic ethnic/racial politics connected to international human rights? To answer these questions, the course begins with an introduction to dominant theoretical approaches to racial and ethnic identity. The course then considers these approaches in light of current events in Africa, Asia, Latin America, Europe, and the United States.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Philosophy|Anthropology|Political Science|Social Science|Sociology,Social Science|Humanities|Philosophy|Political Science|Ethnography|Anthropology|Social Justice|Sociology|Political Philosophy|Social Anthropology|International Relations,"Nobles, Melissa",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
"Genomics, Computing, Economics, and Society",https://live-qa.ocw.mit.edu/courses/hst-510-genomics-computing-economics-and-society-fall-2005,Full Course,Text/HTML,"This course will focus on understanding aspects of modern technology displaying exponential growth curves and the impact on global quality of life through a weekly updated class project integrating knowledge and providing practical tools for political and business decision-making concerning new aspects of bioengineering, personalized medicine, genetically modified organisms, and stem cells. Interplays of economic, ethical, ecological, and biophysical modeling will be explored through multi-disciplinary teams of students, and individual brief reports.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,"Health, Medicine and Nursing|Biology|Economics|Genetics|Political Science|Social Science|Physical Science",Political Economy|Science|Biology|Social Science|Health and Medicine|Public Health|Biomedicine|Functional Genomics|Economics|Genetics,"Church, George|Douglas, Shawn|Wait, Alexander|Zucker, Jeremy",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Humanistic Perspectives on Medicine: From Ancient Greece to Modern America,https://live-qa.ocw.mit.edu/courses/21w-746-humanistic-perspectives-on-medicine-from-ancient-greece-to-modern-america-spring-2005,Full Course,Text/HTML,"This course is designed to explore the human side of medicine: the nature of the physician's identity and obligations; the history and philosophy of the Western medical tradition; the experience of being ill and being a patient; and the challenges of medical ethics. The writing in this class is therefore conceived as an instrument of exploration, and is an integral part of the class's activities.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,"Arts and Humanities|Literature|Health, Medicine and Nursing|Philosophy|History",Humanities|Nonfiction Prose|Literature|Philosophy|History|History of Science and Technology|Health and Medicine|Ethics|Academic Writing,"Lioi, Anthony",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
"Topics in Indian Popular Culture: Spectacle, Masala, and Genre",https://live-qa.ocw.mit.edu/courses/21g-011-topics-in-indian-popular-culture-spectacle-masala-and-genre-fall-2006,Full Course,Text/HTML,"This course aims to provide an overview of Indian popular culture over the last two decades, through a variety of material such as popular fiction, music, television and Bombay cinema. The class will explore major themes and their representations in relation to current social and political issues. In particular, students will examine the elements of the formulaic ""masala movie"", music and melodrama, the ideas of nostalgia and incumbent change in youth culture, as well as shifting questions of gender and sexuality in popular fiction. During the course, students will look at some journalistic writing, advertising clips and political cartoons to understand the relation between the popular culture and the social imagery of a nation. This course is taught in English.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Literature|World Cultures|Visual Arts|Film and Music Production|Anthropology|Social Science|Graphic Arts|Reading Literature,Film and Video|International Literature|Social Science|Humanities|Literature|Society|Cultural Anthropology|Media Studies|Visual Arts|Asian Studies|Anthropology|Fine Arts,"Banerjee, Arundhati",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Writing and Rhetoric: Rhetoric and Contemporary Issues,https://live-qa.ocw.mit.edu/courses/21w-011-writing-and-rhetoric-rhetoric-and-contemporary-issues-fall-2015,Full Course,Text/HTML,"This course seeks to provide a supportive context for students to grow significantly as writers by discovering and engaging with issues that matter to them. Writing on social and ethical issues, we can see ourselves within a tradition of authors such as Charles Dickens, Frederick Douglass, Elizabeth Cady Stanton, George Orwell, Rachel Carson, John F. Kennedy and Martin Luther King, Jr., who have used the power of the pen to inspire social change.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Literature|Cultural Geography|Composition and Rehtoric|Political Science|Social Science|Communication,Rhetoric|Social Science|Humanities|Literature|Public Policy|Society|Communication|Global Poverty|Public Administration|Social Welfare,"Walsh, Andrea",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Gender and Technology,https://live-qa.ocw.mit.edu/courses/wgs-115-gender-and-technology-spring-2013,Full Course,Text/HTML,"This course considers a wide range of issues related to the contemporary and historical use of technology, the development of new technologies, and the cultural representation of technology, including the role women have played in the development of technology and the effect of technological change on the roles of women and ideas of gender. It discusses the social implications of technology and its understanding and deployment in different cultural contexts. It investigates the relationships between technology and identity categories, such as gender, race, class, and sexuality, and examines how technology offers possibilities for new social relations and how to evaluate them.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Arts and Humanities|Women’s Studies|History,Humanities|Society|History of Science and Technology|History|Gender Studies,"Surkan, K.J.",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Multicore Programming Primer,https://live-qa.ocw.mit.edu/courses/6-189-multicore-programming-primer-january-iap-2007,Full Course,Text/HTML,"The course serves as an introductory course in parallel programming. It offers a series of lectures on parallel programming concepts as well as a group project providing hands-on experience with parallel programming. The students will have the unique opportunity to use the cutting-edge PLAYSTATION 3 development platform as they learn how to design and implement exciting applications for multicore architectures. At the end of the course, students will have an understanding of:

Fundamental design philosophies that multicore architectures address.
Parallel programming philosophies and emerging best practices.

This course is offered during the Independent Activities Period (IAP), which is a special 4-week term at MIT that runs from the first week of January until the end of the month. The course can be tailored to a normal semester time line.
Acknowledgements
The course instructors are extremely grateful to Sony, IBM, and Toshiba for their support.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Engineering|Computer Science,Programming Languages|Software Design and Engineering|Computer Science|Theory of Computation|Engineering,"Amarasinghe, Saman|Rabbah, Rodric",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual|Auditory|Caption|Transcript
Public Transportation Systems,https://live-qa.ocw.mit.edu/courses/1-258j-public-transportation-systems-spring-2017,Full Course,Text/HTML,"This course discusses the evolution and role of urban public transportation modes, systems, and services, focusing on bus and rail. It covers various topics, including current practice and new methods for data collection and analysis, performance monitoring, route design, frequency determination, vehicle and crew scheduling, effect of pricing policy and service quality on ridership.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Engineering,Urban Studies|Transportation Planning|Social Science|Civil Engineering|Engineering|Transportation Engineering,"Nassir, Neema|Sanchez-Martinez, Gabriel|Wilson, Nigel",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual|Auditory|Caption|Transcript
Cultures of Computing,https://live-qa.ocw.mit.edu/courses/21a-350j-cultures-of-computing-fall-2011,Full Course,Text/HTML,"This course examines computers anthropologically, as artifacts revealing the social orders and cultural practices that create them. Students read classic texts in computer science along with cultural analyses of computing history and contemporary configurations. It explores the history of automata, automation and capitalist manufacturing; cybernetics and WWII operations research; artificial intelligence and gendered subjectivity; robots, cyborgs, and artificial life; creation and commoditization of the personal computer; the growth of the Internet as a military, academic, and commercial project; hackers and gamers; technobodies and virtual sociality. Emphasis is placed on how ideas about gender and other social differences shape labor practices, models of cognition, hacking culture, and social media.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Philosophy|Anthropology|History|Social Science,Social Science|Humanities|Philosophy|History of Science and Technology|History|Cultural Anthropology|Anthropology|Modern History,"Helmreich, Stefan",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Particle Physics II,https://live-qa.ocw.mit.edu/courses/8-811-particle-physics-ii-fall-2005,Full Course,Text/HTML,"8.811, Particle Physics II, describes essential research in High Energy Physics. We derive the Standard Model (SM) first using a bottom up method based on Unitarity, in addition to the usual top down method using SU3xSU2xU1. We describe and analyze several classical experiments, which established the SM, as examples on how to design experiments. Further topics include heavy flavor physics, high-precision tests of the Standard Model, neutrino oscillations, searches for new phenomena (compositeness, supersymmetry, technical color, and GUTs), and discussion of expectations from future accelerators (B factory, LHC, large electron-positron linear colliders, etc). The term paper requires the students to have constant discussions with the instructor throughout the semester on theories, physics, measurables, signatures, detectors, resolution, background identification and elimination, signal to noise and statistical analysis.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Physical Science|Physics,Physics|Science|Particle Physics|High Energy Physics,"Chen, Min",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
"Technical Design: Scenery, Mechanisms, and Special Effects",https://live-qa.ocw.mit.edu/courses/21m-735-technical-design-scenery-mechanisms-and-special-effects-spring-2004,Full Course,Text/HTML,"This class looks at the special structural and practical needs of theatrical scenery and effects and how they can be constructed. We map the technical design process from initial meetings to realization on stage. The class emphasizes safety, budgeting, and problem solving. Ten 1-3 page Tech notes are required as well as a final project. Work includes actual production assignments as well as paper design projects.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Engineering|Performing Arts,Performance Arts|Fine Arts|Engineering|Theatrical Design|Mechanical Design|Mechanical Engineering,"Katz, Michael",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Personal Genomics and Medicine: What's in Your Genome?,https://live-qa.ocw.mit.edu/courses/7-342-personal-genomics-and-medicine-whats-in-your-genome-spring-2014,Full Course,Text/HTML,"Human genome sequencing has revolutionized our understanding of disease susceptibility, drug metabolism and human ancestry. This course will explore how these advances have been made possible by revolutionary new sequencing methodologies that have decreased costs and increased throughput of genome analysis, making it possible to examine genetic correlates for a variety of biological processes and disorders. The course will combine discussions of primary scientific research papers with hands-on data analysis and small group presentations.
This course is one of many Advanced Undergraduate Seminars offered by the Biology Department at MIT. These seminars are tailored for students with an interest in using primary research literature to discuss and learn about current biological research in a highly interactive setting. Many instructors of the Advanced Undergraduate Seminars are postdoctoral scientists with a strong interest in teaching.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,"Engineering|Health, Medicine and Nursing|Biology|Genetics|Physical Science",Cell Biology|Computational Biology|Science|Biology|Health and Medicine|Genetics|Biotechnology|Functional Genomics|Molecular Biology|Biological Engineering|Engineering,"Herskovits, A. Zara",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Systems and Controls,https://live-qa.ocw.mit.edu/courses/2-04a-systems-and-controls-spring-2013,Full Course,Text/HTML,"This course provides an introduction to linear systems, transfer functions, and Laplace transforms. It covers stability and feedback, and provides basic design tools for specifications of transient response. It also briefly covers frequency-domain techniques.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Engineering,Dynamics and Control|Mechanical Engineering|Engineering,"Barbastathis, George",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Popular Narrative: Masterminds,https://live-qa.ocw.mit.edu/courses/21l-430-popular-narrative-masterminds-fall-2004,Full Course,Text/HTML,"Our purpose is to consider some of the most elaborate and thoughtful efforts to define and delineate ""all-mastering,"" and to consider some of the delineations of ""all-mastering the intellect"" in various guises - from magicians to master spies to detectives to scientists (mad and otherwise). The major written work of the term will be an ongoing reading journal, which you will circulate to your classmates using an e-mail mailing list. The use of that list is fundamental - it is my intention to generate a sort of ongoing cyberconversation.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Graphic Arts|Literature|Reading Literature,Humanities|Literature|Media Studies|Fiction|Criticism|Fine Arts,"Hildebidle, John",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Topics in Epistemology: Self-Knowledge,https://live-qa.ocw.mit.edu/courses/24-805-topics-in-epistemology-self-knowledge-fall-2015,Full Course,Text/HTML,This course is a graduate seminar surveying recent work on self-knowledge. Some questions that will be explored and discussed are: What is the distinctive philosophical interest of self-knowledge? Is self-knowledge really an epistemic achievement? Is it plausible that there is a uniform explanation of all distinctively first-personal self-knowledge?,en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Philosophy,Epistemology|Philosophy|Humanities,"Byrne, Alex|Paul, Sarah",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction,Visual|Textual
Architecture Studio: Building in Landscapes,https://live-qa.ocw.mit.edu/courses/4-125b-architecture-studio-building-in-landscapes-fall-2005,Full Course,Text/HTML,"This subject introduces skills needed to build within a landscape establishing continuities between the built and natural world. Students learn to build appropriately through analysis of landscape and climate for a chosen site, and to conceptualize design decisions through drawings and models.
This class was taught concurrently with course 4.125A. Some of the assignments are the same, some are different, and the sites for the final project are different. But since they were taught in tandem, it would be useful to look at both together.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Architecture and Design|Arts and Humanities,Environmental Design|Architectural Design|Architecture|Fine Arts,"Wampler, Jan",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Introduction to International Relations,https://live-qa.ocw.mit.edu/courses/17-41-introduction-to-international-relations-spring-2018,Full Course,Text/HTML,"This course provides an introduction to the causes of international conflict and cooperation. Topics include war initiation, crisis bargaining, international terrorism, nuclear strategy, interstate economic relations, economic growth, international law, human rights, and environmental politics.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Social Science|Political Science,Political Science|Social Science|International Relations,"Hayes, Jarrod",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
"Learning from the Past: Drama, Science, Performance",https://live-qa.ocw.mit.edu/courses/21l-016-learning-from-the-past-drama-science-performance-spring-2009,Full Course,Text/HTML,"This class explores the creation (and creativity) of the modern scientific and cultural world through study of western Europe in the 17th century, the age of Descartes and Newton, Shakespeare, Milton and Ford. It compares period thinking to present-day debates about the scientific method, art, religion, and society. This team-taught, interdisciplinary subject draws on a wide range of literary, dramatic, historical, and scientific texts and images, and involves theatrical experimentation as well as reading, writing, researching and conversing.
The primary theme of the class is to explore how England in the mid-seventeenth century became ""a world turned upside down"" by the new ideas and upheavals in religion, politics, and philosophy, ideas that would shape our modern world. Paying special attention to the ""theatricality"" of the new models and perspectives afforded by scientific experimentation, the class will read plays by Shakespeare, Tate, Brecht, Ford, Churchill, and Kushner, as well as primary and secondary texts from a wide range of disciplines. Students will also compose and perform in scenes based on that material.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Literature|History|World History|Reading Literature,International Literature|Drama|Humanities|Literature|History of Science and Technology|History|Comparative Literature|European History,"Henderson, Diana|Sonenberg, Janet",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Media in Cultural Context,https://live-qa.ocw.mit.edu/courses/21l-715-media-in-cultural-context-fall-2015,Full Course,Text/HTML,"This seminar is about the pleasures and power of reading. From the Sumerian clay tablets of more than four millenia ago through the spectacular emergence of the electronic text, the written word—in all its forms—has captivated the human mind, embodied our insights into the world around us, and made enduring our most profound artistic creations and scientific discoveries.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Literature|Reading Literature,Humanities|Literature|Classics|Periodic Literature|Fiction|American Literature|Criticism|Comparative Literature,"Frampton, Stephanie",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Biomedical Information Technology,https://live-qa.ocw.mit.edu/courses/20-453j-biomedical-information-technology-fall-2008,Full Course,Text/HTML,"This course teaches the design of contemporary information systems for biological and medical data. Examples are chosen from biology and medicine to illustrate complete life cycle information systems, beginning with data acquisition, following to data storage and finally to retrieval and analysis. Design of appropriate databases, client-server strategies, data interchange protocols, and computational modeling architectures. Students are expected to have some familiarity with scientific application software and a basic understanding of at least one contemporary programming language (e.g. C, C++, Java, Lisp, Perl, Python). A major term project is required of all students. This subject is open to motivated seniors having a strong interest in biomedical engineering and information system design with the ability to carry out a significant independent project.
This course was offered as part of the Singapore-MIT Alliance (SMA) program as course number SMA 5304.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,"Engineering|Health, Medicine and Nursing|Biology|Computer Science|Business and Communication",Biomedical Instrumentation|Computational Biology|Medical Imaging|Data Mining|Computer Science|Business|Health and Medicine|Biomedicine|Biological Engineering|Engineering|Information Technology,"Bhowmick, Sourav|Dewey, C.|Yu, Hanry",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment,Visual|Textual
Science Writing and New Media: Communicating Science to the Public,https://live-qa.ocw.mit.edu/courses/21w-035-science-writing-and-new-media-communicating-science-to-the-public-fall-2016,Full Course,Text/HTML,"This course provides an introduction to writing about science (including medicine, technology, and engineering) for general readers. With a strong emphasis in background research, this course will help students build a foundation for strong science writing. Students will read works by accomplished science writers. Each assignment will focus on a different popular form, such as news articles, interviews, essays, and short features.",en,Creative Commons Attribution Non Commercial Share Alike 4.0,student|teacher,Arts and Humanities|Composition and Rehtoric|Literature|History,Humanities|Technical Writing|Nonfiction Prose|Literature|History|History of Science and Technology|Periodic Literature|Academic Writing,"Berezin, Jared",MIT,MIT OpenCourseWare,https://creativecommons.org/licenses/by-nc-sa/4.0/,MIT,Curriculum/Instruction|Assessment|Professional Development,Visual|Textual
